,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
165,166,spotify:track:6jbYpRPTEFl1HFKHk1IC0m,"Tyler, The Creator, Lola Young",Like Him (feat. Lola Young),Columbia,166,-1,3,68744,1,Denmark
166,167,spotify:track:1fYNJKlLilEEBAKWDKD2vC,Ukendt Kunstner,Neonlys,No3,35,106,97,68732,1,Denmark
167,168,spotify:track:63Dymm6U4WHLRy87e8GBbo,Lamin,"Gode Dage, Gode Drinks",Universal Music A/S,3,130,121,68171,1,Denmark
168,169,spotify:track:2Z2tjSQuHmvunVAheNxeI5,Pil,Dronning Af Månen,No3,18,162,85,68094,1,Denmark
169,170,spotify:track:2aNMkT86YjYPlKujUiHYbS,"Branco, Gobs",FORSVINDER (feat. Gobs),Branco,2,-1,48,68058,1,Denmark
170,171,spotify:track:3JG1uFc40wfyrqaWC7iv0e,Artemas,i like the way you kiss me,Artemas,2,141,36,68004,1,Denmark
171,172,spotify:track:4EWCNWgDS8707fNSZ1oaA5,Kanye West,Heartless,Roc-A-Fella,49,-1,88,67975,1,Denmark
172,173,spotify:track:3azJifCSqg9fRij2yKIbWz,Tory Lanez,The Color Violet,One Umbrella Records,49,-1,74,67846,1,Denmark
173,174,spotify:track:2rfl7SRwfel3gNhXBmL60u,"Gilli, Saveus",Verden Vågner (feat. Saveus),Universal Music A/S,1,122,113,67834,1,Denmark
174,175,spotify:track:7hBGy8DIYXuUZf5ZUjKHPO,Medina,Kun For Mig,:labelmade:,83,93,82,67755,1,Denmark
175,176,spotify:track:62SSTz9Jwu05YFqfEXBfOq,"KESI, Gilli",E.T.A,Universal Music A/S,7,191,18,67478,1,Denmark
